,Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Dew_PointC,MeanDew_PointC,Min_DewpointC,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressurehPa,Mean_Sea_Level_PressurehPa,Min_Sea_Level_PressurehPa,Max_VisibilityKm,Mean_VisibilityKm,Min_VisibilitykM,Max_Wind_SpeedKm_h,Mean_Wind_SpeedKm_h,Max_Gust_SpeedKm_h,Precipitationmm,CloudCover,Events,WindDirDegrees,State
0,2013-01-01,8,6,4,7,6,2,100,90,77,1008,1001,998,31.0,11.0,6.0,29,23,,6.1,6.0,Rain,235,HB
1,2013-01-02,7,5,3,5,4,3,93,88,81,1023,1017,1008,31.0,14.0,9.0,27,21,,0.51,6.0,Rain,244,HB
2,2013-01-03,11,8,6,9,8,5,100,93,88,1030,1024,1020,26.0,9.0,3.0,32,23,,1.02,6.0,Rain,260,HB
3,2013-01-04,10,8,7,9,8,6,100,92,87,1031,1029,1028,31.0,9.0,3.0,35,24,,0.0,7.0,Rain,277,HB
4,2013-01-05,8,7,7,7,7,6,100,92,87,1031,1030,1028,14.0,8.0,4.0,29,23,,0.0,8.0,Rain,293,HB
5,2013-01-06,8,7,6,8,7,5,100,93,87,1030,1027,1025,14.0,8.0,3.0,29,18,,0.51,7.0,Rain,286,HB
6,2013-01-07,8,7,5,7,6,4,100,95,87,1028,1027,1024,14.0,8.0,3.0,18,11,,0.0,6.0,Rain,241,HB
7,2013-01-08,8,7,6,8,7,6,100,95,88,1024,1022,1021,5.0,3.0,2.0,21,14,,5.08,6.0,Rain,246,HB
8,2013-01-09,8,6,3,8,6,2,100,94,86,1022,1016,1013,19.0,7.0,2.0,23,16,,5.08,6.0,Rain,258,HB
9,2013-01-10,5,3,1,4,1,-4,100,86,60,1014,1011,1008,31.0,11.0,5.0,27,16,,0.0,6.0,Rain,305,HB
10,2013-01-11,1,-2,-4,-2,-3,-5,87,79,65,1019,1016,1013,31.0,11.0,10.0,19,11,,0.0,5.0,Snow,311,HB
11,2013-01-12,1,-2,-6,-2,-4,-7,100,89,59,1021,1020,1018,31.0,18.0,10.0,13,5,,0.0,2.0,Fog-Snow,60,HB
12,2013-01-13,-1,-3,-5,-3,-4,-5,93,84,71,1022,1020,1018,31.0,13.0,10.0,19,10,,0.0,6.0,Snow,59,HB
13,2013-01-14,-3,-4,-7,-4,-6,-7,100,90,80,1019,1014,1010,18.0,5.0,1.0,19,13,,0.0,6.0,Snow,124,HB
14,2013-01-15,-3,-7,-11,-6,-8,-12,100,88,75,1011,1009,1008,10.0,6.0,0.0,14,8,,0.0,6.0,Fog,90,HB
15,2013-01-16,-4,-6,-7,-5,-6,-7,93,88,76,1015,1012,1010,8.0,6.0,5.0,14,11,,0.0,6.0,Snow,59,HB
16,2013-01-17,-1,-3,-5,-3,-4,-6,93,82,70,1020,1018,1015,11.0,7.0,5.0,14,11,,0.0,6.0,Snow,18,HB
17,2013-01-18,-1,-2,-3,-2,-4,-6,96,83,68,1019,1013,1008,23.0,10.0,5.0,27,14,,0.0,6.0,Snow,85,HB
18,2013-01-19,-3,-4,-6,-6,-8,-10,80,73,61,1008,1005,1003,31.0,14.0,10.0,34,24,,0.0,7.0,,100,HB
19,2013-01-20,-2,-6,-9,-5,-8,-11,93,76,59,1004,1002,1000,26.0,16.0,10.0,32,23,47.0,0.0,6.0,,87,HB
20,2013-01-21,-3,-4,-6,-4,-5,-8,94,86,69,1005,1002,1000,31.0,6.0,1.0,34,26,,0.51,6.0,Snow,86,HB
21,2013-01-22,-5,-6,-7,-7,-8,-9,93,82,72,1011,1008,1005,19.0,9.0,5.0,24,19,,0.25,6.0,Snow,91,HB
22,2013-01-23,-2,-4,-7,-4,-7,-9,93,82,61,1013,1011,1010,26.0,13.0,10.0,14,11,,0.0,5.0,Rain-Snow,50,HB
23,2013-01-24,-2,-2,-4,-4,-5,-5,93,83,71,1021,1016,1012,19.0,12.0,10.0,21,14,,0.0,6.0,Snow,18,HB
24,2013-01-25,-6,-9,-13,-5,-9,-14,100,86,73,1023,1020,1015,10.0,5.0,0.0,21,8,,0.0,1.0,Fog,122,HB
25,2013-01-26,0,-6,-11,-1,-8,-12,93,85,63,1015,1011,1008,11.0,7.0,3.0,27,16,,0.25,7.0,Snow,163,HB
26,2013-01-27,4,1,-2,2,1,-1,100,89,72,1009,1002,997,31.0,8.0,2.0,34,19,,4.06,7.0,Rain-Snow,200,HB
27,2013-01-28,4,2,1,2,1,0,94,88,78,1011,1008,1002,31.0,16.0,10.0,34,16,,1.02,5.0,Rain-Snow,211,HB
28,2013-01-29,11,7,2,10,6,1,100,87,74,1006,1003,1000,26.0,11.0,3.0,35,24,60.0,2.03,6.0,Rain-Snow,222,HB
29,2013-01-30,12,9,7,11,8,3,100,87,69,1004,1000,997,31.0,11.0,3.0,48,29,71.0,7.87,6.0,Rain-Thunderstorm,246,HB
30,2013-01-31,8,7,6,4,3,2,87,73,59,1009,1005,1001,31.0,15.0,10.0,50,42,71.0,0.25,5.0,Rain,252,HB
31,2013-02-01,7,4,2,5,3,1,100,83,64,1005,999,992,31.0,11.0,6.0,40,26,61.0,5.08,7.0,Rain,268,HB
32,2013-02-02,4,3,2,2,1,-3,100,84,50,1010,1001,993,31.0,13.0,3.0,34,16,53.0,0.25,5.0,Rain-Snow,311,HB
33,2013-02-03,6,3,1,4,1,-1,94,83,67,1014,1010,1003,31.0,12.0,3.0,34,21,,3.05,6.0,Rain-Snow,263,HB
34,2013-02-04,9,6,2,7,3,1,100,79,55,1005,1003,1000,31.0,12.0,5.0,47,24,66.0,2.03,5.0,Rain,256,HB
35,2013-02-05,5,2,0,2,1,-1,100,86,66,1002,995,993,26.0,12.0,2.0,34,24,50.0,8.89,5.0,Rain-Snow-Thunderstorm,238,HB
36,2013-02-06,4,1,-3,3,-1,-3,100,91,74,1002,998,995,31.0,9.0,0.0,19,10,,0.51,5.0,Fog-Rain-Snow,246,HB
37,2013-02-07,3,1,-1,1,-1,-2,100,88,68,1011,1007,1002,31.0,13.0,3.0,23,13,,0.25,5.0,Snow-Hail,300,HB
38,2013-02-08,1,-1,-2,-1,-3,-5,98,81,66,1017,1013,1010,26.0,14.0,6.0,14,10,,0.0,6.0,Rain-Snow,342,HB
39,2013-02-09,1,-2,-6,-2,-3,-6,100,84,62,1019,1018,1017,31.0,14.0,1.0,14,8,,1.02,5.0,Fog-Snow,316,HB
40,2013-02-10,1,-3,-7,-2,-4,-6,100,83,55,1018,1013,1010,26.0,9.0,0.0,21,10,,0.0,4.0,Fog,122,HB
41,2013-02-11,1,-2,-5,-4,-6,-7,86,71,53,1012,1009,1008,31.0,15.0,10.0,35,24,47.0,0.0,5.0,,99,HB
42,2013-02-12,2,0,-2,-1,-3,-6,100,80,57,1020,1015,1012,31.0,13.0,5.0,24,18,,0.0,5.0,Snow,45,HB
43,2013-02-13,1,-1,-3,-2,-4,-5,93,80,57,1028,1024,1019,26.0,13.0,10.0,14,10,,0.0,5.0,Snow,62,HB
44,2013-02-14,1,-2,-5,-3,-4,-6,100,80,55,1027,1021,1015,14.0,8.0,3.0,32,16,,0.0,7.0,Snow,133,HB
45,2013-02-15,2,0,-2,2,0,-3,100,98,76,1021,1017,1014,10.0,2.0,0.0,19,13,,0.25,7.0,Fog-Rain-Snow,149,HB
46,2013-02-16,3,2,1,3,2,1,100,100,98,1025,1022,1020,2.0,1.0,0.0,10,5,,0.0,7.0,Fog-Rain,77,HB
47,2013-02-17,3,2,1,3,2,1,100,100,97,1026,1025,1024,5.0,2.0,0.0,8,5,,0.0,7.0,Fog,110,HB
48,2013-02-18,3,1,-1,2,1,0,100,95,83,1024,1022,1018,8.0,5.0,2.0,13,6,,0.0,6.0,Fog,217,HB
49,2013-02-19,3,1,-1,3,0,-3,100,87,59,1022,1017,1014,31.0,9.0,3.0,24,14,,0.51,6.0,Rain-Snow,347,HB
50,2013-02-20,1,0,-2,-3,-4,-6,86,74,55,1028,1026,1023,31.0,12.0,10.0,23,14,,0.0,5.0,Snow-Hail,26,HB
51,2013-02-21,1,-1,-2,-4,-5,-7,86,71,47,1028,1025,1023,31.0,15.0,10.0,24,16,,0.0,6.0,Snow,34,HB
52,2013-02-22,-1,-2,-3,-3,-6,-8,93,74,51,1024,1021,1019,26.0,11.0,3.0,29,18,,0.0,5.0,Snow,57,HB
53,2013-02-23,1,-2,-4,-1,-5,-7,93,74,49,1020,1018,1017,23.0,10.0,5.0,34,19,,0.0,7.0,Snow,43,HB
54,2013-02-24,2,1,-1,1,0,-1,100,95,89,1020,1017,1015,10.0,6.0,2.0,26,21,,1.02,7.0,Rain-Snow,30,HB
55,2013-02-25,3,2,1,2,1,0,100,93,81,1029,1023,1020,8.0,5.0,2.0,23,16,,0.0,7.0,Rain,54,HB
56,2013-02-26,2,1,1,2,1,0,94,92,85,1035,1032,1029,7.0,6.0,3.0,21,16,,0.0,7.0,,62,HB
